dt,AverageConsumption,Building
2019-01-01,383.7,A
2019-01-01,472.4,B
2019-01-01,325.4,C
2019-01-01,594.6,D
2019-01-01,271.3,E
2019-02-01,407.7,A
2019-02-01,491.6,B
2019-02-01,342.8,C
2019-02-01,615.8,D
2019-02-01,290.1,E
2019-03-01,413.5,A
2019-03-01,509.2,B
2019-03-01,356.3,C
2019-03-01,660.7,D
2019-03-01,295.4,E
2019-04-01,425.0,A
2019-04-01,534.6,B
2019-04-01,381.1,C
2019-04-01,657.8,D
2019-04-01,311.3,E
2019-05-01,446.1,A
2019-05-01,507.6,B
2019-05-01,371.9,C
2019-05-01,641.4,D
2019-05-01,296.2,E
2019-06-01,398.7,A
2019-06-01,500.6,B
2019-06-01,353.9,C
2019-06-01,621.0,D
2019-06-01,295.4,E
2019-07-01,395.0,A
2019-07-01,not_available,B
2019-07-01,321.7,C
2019-07-01,594.3,D
2019-07-01,254.1,E
2019-08-01,356.9,A
2019-08-01,469.0,B
2019-08-01,294.9,C
2019-08-01,580.8,D
2019-08-01,250.6,E
2019-09-01,349.3,A
2019-09-01,438.8,B
2019-09-01,291.6,C
2019-09-01,578.2,D
2019-09-01,221.8,E
2019-10-01,347.7,A
2019-10-01,440.9,B
2019-10-01,288.5,C
2019-10-01,573.3,D
2019-10-01,217.4,E
2019-11-01,368.3,A
2019-11-01,432.3,B
2019-11-01,278.1,C
2019-11-01,580.3,D
2019-11-01,218.5,E
2019-12-01,367.1,A
2019-12-01,445.9,B
2019-12-01,303.6,C
2019-12-01,,D
2019-12-01,250.1,E
2020-01-01,409.5,A
2020-01-01,482.3,B
2020-01-01,335.0,C
2020-01-01,610.4,D
2020-02-01,421.4,A
2020-02-01,509.9,B
2020-02-01,not_number,C
2020-02-01,645.5,D
2020-03-01,434.0,A
2020-03-01,533.9,B
2020-03-01,351.2,C
2020-03-01,653.2,D
2020-04-01,446.3,A
2020-04-01,551.8,B
2020-04-01,384.6,C
2020-04-01,644.2,D
2020-05-01,,A
2020-05-01,534.0,B
2020-05-01,349.8,C
2020-05-01,644.6,D
2020-06-01,406.5,A
2020-06-01,497.7,B
2020-06-01,334.6,C
2020-06-01,639.2,D
2020-07-01,382.7,A
2020-07-01,479.9,B
2020-07-01,324.1,C
2020-07-01,620.4,D
2020-08-01,358.4,A
2020-08-01,464.7,B
2020-08-01,307.3,C
2020-08-01,598.3,D
2020-09-01,368.5,A
2020-09-01,463.1,B
2020-09-01,281.1,C
2020-09-01,565.0,D
2020-10-01,345.9,A
2020-10-01,457.8,B
2020-10-01,299.5,C
2020-10-01,549.4,D
2020-11-01,345.4,A
2020-11-01,440.4,B
2020-11-01,279.4,C
2020-11-01,567.5,D
2020-12-01,376.7,A
2020-12-01,458.0,B
2020-12-01,287.6,C
2020-12-01,581.6,D
2021-01-01,397.3,A
2021-01-01,495.4,B
2021-01-01,620.3,D
2021-01-01,abc,E
2021-02-01,425.1,A
2021-02-01,519.7,B
2021-02-01,632.8,D
2021-02-01,296.4,E
2021-03-01,455.4,A
2021-03-01,,B
2021-03-01,656.5,D
2021-03-01,339.7,E
2021-04-01,443.1,A
2021-04-01,534.4,B
2021-04-01,634.7,D
2021-04-01,339.8,E
2021-05-01,425.2,A
2021-05-01,516.4,B
2021-05-01,632.5,D
2021-05-01,316.8,E
2021-06-01,418.7,A
2021-06-01,499.4,B
2021-06-01,608.5,D
2021-06-01,299.9,E
2021-07-01,387.7,A
2021-07-01,488.1,B
2021-07-01,586.9,D
2021-07-01,303.5,E
2021-08-01,383.6,A
2021-08-01,457.8,B
2021-08-01,572.6,D
2021-08-01,262.0,E
2021-09-01,358.1,A
2021-09-01,440.5,B
2021-09-01,577.6,D
2021-09-01,268.8,E
2021-10-01,355.8,A
2021-10-01,447.4,B
2021-10-01,544.1,D
2021-10-01,230.7,E
2021-11-01,357.4,A
2021-11-01,445.6,B
2021-11-01,576.9,D
2021-11-01,238.8,E
2021-12-01,362.3,A
2021-12-01,486.7,B
2021-12-01,582.5,D
2021-12-01,254.8,E
2022-01-01,409.6,A
2022-01-01,480.0,B
2022-01-01,345.0,C
2022-01-01,618.2,D
2022-01-01,313.1,E
2022-02-01,437.6,A
2022-02-01,510.9,B
2022-02-01,361.7,C
2022-02-01,611.5,D
2022-02-01,332.3,E
2022-03-01,448.1,A
2022-03-01,546.0,B
2022-03-01,376.8,C
2022-03-01,630.0,D
2022-03-01,350.2,E
2022-04-01,470.5,A
2022-04-01,554.7,B
2022-04-01,400.0,C
2022-04-01,657.5,D
2022-04-01,353.6,E
2022-05-01,437.1,A
2022-05-01,536.6,B
2022-05-01,377.8,C
2022-05-01,623.0,D
2022-05-01,322.0,E
2022-06-01,422.6,A
2022-06-01,510.8,B
2022-06-01,373.4,C
2022-06-01,639.9,D
2022-06-01,320.6,E
2022-07-01,423.7,A
2022-07-01,514.6,B
2022-07-01,360.4,C
2022-07-01,596.1,D
2022-07-01,289.9,E
2022-08-01,375.7,A
2022-08-01,463.6,B
2022-08-01,errore,C
2022-08-01,583.0,D
2022-08-01,291.9,E
2022-09-01,381.3,A
2022-09-01,457.3,B
2022-09-01,310.5,C
2022-09-01,572.8,D
2022-09-01,246.1,E
2022-10-01,368.8,A
2022-10-01,466.8,B
2022-10-01,309.2,C
2022-10-01,565.0,D
2022-10-01,254.2,E
2022-11-01,missing,A
2022-11-01,468.4,B
2022-11-01,299.0,C
2022-11-01,572.9,D
2022-11-01,278.0,E
2022-12-01,381.8,A
2022-12-01,470.9,B
2022-12-01,337.6,C
2022-12-01,586.6,D
2022-12-01,265.6,E
2023-01-01,400.6,A
2023-01-01,339.4,C
2023-01-01,612.6,D
2023-01-01,321.0,E
2023-02-01,423.8,A
2023-02-01,386.3,C
2023-02-01,637.8,D
2023-02-01,338.2,E
2023-03-01,447.6,A
2023-03-01,392.7,C
2023-03-01,623.7,D
2023-03-01,331.5,E
2023-04-01,476.0,A
2023-04-01,402.4,C
2023-04-01,n.d.,D
2023-04-01,370.6,E
2023-05-01,450.6,A
2023-05-01,404.4,C
2023-05-01,648.7,D
2023-05-01,338.6,E
2023-06-01,427.6,A
2023-06-01,367.0,C
2023-06-01,611.2,D
2023-06-01,335.6,E
2023-07-01,405.3,A
2023-07-01,349.1,C
2023-07-01,584.7,D
2023-07-01,324.8,E
2023-08-01,386.2,A
2023-08-01,328.0,C
2023-08-01,578.5,D
2023-08-01,302.1,E
2023-09-01,372.2,A
2023-09-01,328.1,C
2023-09-01,559.1,D
2023-09-01,,E
2023-10-01,369.8,A
2023-10-01,289.7,C
2023-10-01,550.8,D
2023-10-01,253.6,E
2023-11-01,357.2,A
2023-11-01,323.8,C
2023-11-01,547.2,D
2023-11-01,270.1,E
2023-12-01,399.6,A
2023-12-01,331.5,C
2023-12-01,569.2,D
2023-12-01,288.2,E
2020-06-01,,A
2021-04-01,unknown,B
2022-03-01,---,D
